Dim1,Dim2
0.79180706,-9.711301
10.646237,-1.2418766
-6.2801995,-5.745362
5.6107244,-19.109926
7.885178,-15.291024
-2.0716946,-2.324371
1.2532175,-5.392271
10.745047,-2.8818035
7.954632,-19.447731
8.099402,-8.601754
8.597279,-15.220632
2.5918438,-7.3689184
-6.4324207,-3.9289978
-0.42611957,-1.8570478
8.834437,-7.230482
-1.0233651,-5.4197927
5.1234193,2.9289713
-9.45604,-4.7527184
-3.5535293,-2.6667495
8.125889,-5.8150883
1.9436433,-0.39655834
4.1405516,-14.886173
1.0626049,-17.547861
-3.4594963,12.730524
6.244925,-14.135945
2.5993273,-4.300816
-4.87081,1.3655436
-1.52041,-6.704747
2.6362998,-10.10623
8.47212,0.53862983
9.272754,-18.415886
-5.293526,-2.4734468
-9.987256,-1.3581135
-3.8713977,14.189209
-2.6833718,3.207512
1.7287524,6.1179266
8.222561,-1.330304
-8.081559,12.495562
0.051175963,8.00391
-0.5229433,1.9000977
6.253487,-20.343372
-11.869719,7.7879252
-6.5489163,0.053357027
7.7847047,-16.834003
-2.2261102,1.7658203
-11.572903,5.217037
-2.3408418,3.5198145
-0.8272296,8.460471
8.386439,-4.129919
4.2303257,-16.055529
-1.4741541,2.6606793
0.14951779,-11.466721
-12.094688,9.39626
5.1627936,-10.829559
-6.97608,1.9215152
-4.2302113,12.133784
-5.9496202,13.836452
2.8669748,-9.310863
3.7432957,-16.978529
-5.4076395,3.7852905
8.264441,-11.751076
-4.969134,12.675787
0.7803601,9.653009
-7.6932874,0.32578483
-8.488512,6.1330795
-6.101669,7.0370173
1.9198472,6.58272
9.095185,-17.58115
-3.7159877,-3.1306107
-7.1722264,7.806465
5.6664343,-12.880158
-8.928144,-4.9252896
7.644639,-0.4698302
1.2712255,-12.003704
4.855862,-9.675667
-6.198565,2.459079
-0.4494861,-16.878504
-6.2607594,-3.8440523
-3.615098,-5.2840123
2.1415312,8.825122
4.049941,1.7552955
3.5728097,0.55819136
1.5181078,7.417956
6.119847,-17.553001
3.2241364,-14.087838
-10.99039,8.566106
-1.4316528,1.9941188
-9.433727,8.485652
0.95662844,-0.27010125
-9.706305,9.594642
4.4026046,1.564236
-8.749328,9.15621
6.5409503,-5.5367208
-3.8131008,-7.653812
-10.259196,7.775312
1.642344,-2.9666884
2.7831826,-14.972615
6.8258777,-18.625267
2.3851924,8.699418
6.3536925,-15.54657
-8.441224,9.888433
4.058566,-15.595694
-9.113456,-0.4859763
-9.768677,6.4761972
4.329331,2.7239516
-10.449959,10.215022
8.533065,-7.582648
6.577582,-19.48985
4.7312255,-19.708927
8.680541,-18.600054
3.1936824,-11.478868
0.81812453,-18.147697
3.3735955,-16.148512
7.142084,-7.9304605
-9.111039,10.00838
-7.8263183,-0.6412564
-8.794651,7.076314
-2.5301425,-4.0248213
-3.023221,11.716514
8.024161,-3.3132272
9.825472,-13.8736925
7.7783666,-7.209822
7.0569105,-16.515347
-1.3342022,-3.4157984
5.796719,-5.5757117
2.7626276,-13.696933
-5.1027284,-4.891846
-6.7038627,-6.395569
3.7561781,-0.84254164
-0.15530434,-0.7899158
4.2543597,9.548583
-2.3057132,-5.7647624
-5.2430243,-6.547535
7.1115246,-12.5570345
5.739117,-16.334352
2.7441478,-2.6943283
3.59204,8.692963
-4.306396,-6.692432
-6.79799,-5.732476
7.712506,-17.995941
3.0274432,-6.9782557
1.879343,-7.473481
-9.106767,-2.341446
2.541656,-16.267574
-9.807475,0.38754043
-3.6297286,13.35516
-0.923822,9.696309
6.868023,-17.260347
-8.195684,-0.058933623
5.7864084,-4.461676
5.7600083,0.77286744
1.3665019,-4.8037114
-7.250813,13.2686615
9.796031,-1.9013215
7.1033726,-10.765388
5.13998,8.672052
5.3305645,-8.183529
2.2184417,-0.9836578
5.1058216,-12.945442
-8.033623,-5.8872175
3.957342,-10.46841
7.0494823,-13.69307
-10.39387,-0.060367405
6.8517866,0.115991496
-1.1558899,3.1818802
-12.059767,9.947719
3.356768,1.3368119
2.8340468,5.820977
-4.1658335,3.899998
-6.5848255,13.756636
-8.997144,11.004035
-1.2649963,-6.991775
-11.195986,10.47157
-7.140578,12.565954
-0.03932337,-2.3094087
-1.4797744,-0.07002202
6.37039,-9.954357
-7.469211,-1.4722111
-6.5531807,11.623846
-1.1923472,10.782825
8.417784,-4.5608735
-12.097011,6.390554
-6.762336,6.7553425
6.944385,-5.918209
4.265662,-6.0703244
-9.380362,2.4801335
-7.58416,2.9247406
-9.704985,2.0921166
-5.264974,1.900967
0.23283674,-10.828162
-5.043432,-3.1978445
2.5752773,-16.189476
4.1761765,-8.399573
2.2802765,-17.822731
-3.6564837,11.887369
-0.53827214,-14.384418
0.29313752,-16.169188
-0.5487431,10.3347645
-10.390124,4.8940883
-7.814179,13.704367
6.1173773,2.1195035
-1.181997,-2.363882
-3.304439,2.7734811
-8.322343,7.6335464
-10.405433,6.670839
-9.351873,7.2876186
-5.8197527,11.378454
1.9156574,-9.993397
-6.049826,13.040598
-4.7638526,13.620298
0.5336108,-6.303386
-5.903573,12.144756
-8.699512,-2.3803046
1.9458638,8.363782
3.7980204,-5.8084664
2.0606437,-11.020269
4.2680516,-18.977047
4.7090883,-8.149267
-7.068756,-0.8215772
10.299731,-2.5051165
-2.1192343,1.3137736
7.473003,-8.522282
2.9088135,-18.88901
2.2706785,-8.775682
-2.4697738,-6.6560173
3.0427592,6.216979
7.147923,1.5121459
-7.670832,9.270942
0.019140452,-17.327888
8.470881,-8.342781
-0.07177264,-3.7330258
