Dim1,Dim2,Dim3
-156.83058,0.9066134,-34.78317
-43.602814,-28.66492,-106.227455
-0.35007957,120.74132,-74.60928
-121.44986,96.867966,-57.218086
-82.79222,44.16666,110.09415
35.27859,78.88723,36.92596
-21.544403,-30.767996,52.797173
-111.791916,31.860846,-95.354904
-96.542305,-7.623103,139.91368
-72.70918,27.399765,21.107801
-98.51784,34.58297,82.40112
-43.272747,29.13531,-15.952978
20.36013,114.6202,3.0166445
51.22462,37.229397,76.30489
-82.18409,81.5474,11.738886
0.29527718,70.92002,13.03081
19.979977,-40.753548,-104.5966
52.10323,109.83557,-70.657135
19.334644,19.884266,67.14132
-51.951847,58.677685,-3.403726
22.518047,40.436802,102.00104
-147.97192,44.857742,46.41322
-55.906933,73.95155,81.871796
-47.113514,-103.657166,17.043842
-33.791386,43.638325,-114.378845
-117.717705,-56.20401,-31.884418
-44.334377,115.93632,-52.51707
-70.18889,-86.00549,-112.7286
-82.60629,-4.282708,-45.598797
-50.389374,-101.22422,-63.428665
99.15588,89.761795,35.72442
85.5555,26.733742,23.587315
-5.5605464,-50.841896,-42.650173
110.25129,-131.00578,-8.794021
-19.223673,-71.533554,37.323456
112.7331,71.889084,-20.481146
-59.422806,-64.08794,-44.334053
33.658596,-82.83595,-93.73279
13.268082,68.17942,139.18997
20.22322,9.520217,-3.7515519
-125.2322,-47.62653,106.16652
-9.653831,-84.187256,-112.43973
59.8932,50.998856,-23.392422
-64.680435,21.672983,134.43518
49.358868,19.653564,-16.043898
-12.787056,-26.86535,-70.932655
71.620056,-6.673226,-12.010848
69.84762,-68.78535,3.8768458
-38.622917,50.719604,25.96858
97.22494,127.23328,-3.6048996
19.085669,20.868622,23.775244
-147.1744,40.66738,-36.306244
-7.9039826,-94.86716,-81.85051
-85.51487,52.139297,44.914913
61.86509,89.94052,-36.20682
45.71402,-114.114105,-37.995644
55.71305,-84.909096,-134.92998
-97.59122,28.994392,-41.816357
-150.16272,13.145242,60.657856
75.02126,54.797886,-128.58925
-48.511932,-53.951702,85.95047
73.6473,-87.3787,-42.437576
53.5045,-44.244427,26.148722
46.00765,32.744713,-48.81984
86.040955,14.025828,-50.476948
101.757126,23.07504,-110.95194
-106.17724,91.96498,69.98383
-46.18043,52.20298,126.73639
66.57941,52.859653,48.109425
100.65859,-10.532814,-35.357193
-23.664469,63.62799,-89.405205
109.45767,71.93373,81.53622
-62.73676,-59.65522,-75.874954
-136.99142,29.795925,-60.973152
-84.469345,30.300056,-8.625364
-20.29288,-86.75279,-17.225466
-7.2226863,122.42192,85.93785
76.14508,8.17835,49.566414
1.5890099,54.90731,45.664913
31.427576,-65.610016,43.595684
-22.013327,-37.657238,-4.0900216
-18.252539,-8.755829,11.612289
55.73646,-83.480446,46.221245
139.07545,31.71434,8.748234
51.06966,-115.17557,97.97471
135.28665,6.302396,-72.160995
47.04243,2.6355152,10.927427
40.27623,-17.463617,-91.10615
-70.164856,23.433752,-141.69891
48.92946,-53.53313,-98.621376
4.093576,-52.833065,-0.63475555
82.23753,-28.218636,-63.555317
-42.219017,93.63105,23.491985
89.28473,-36.129345,119.37306
28.607439,-19.88426,-62.3454
-6.667365,-50.025803,90.86545
-106.576584,-59.320892,46.900875
11.82567,21.454584,-133.28975
27.840843,-40.94204,55.756798
-55.08849,37.638943,80.907555
59.109177,-46.435318,-64.02059
-107.22254,-9.689566,43.201775
26.354698,61.924538,-85.932915
57.952553,-2.0811806,-64.072716
27.0015,-32.450924,-22.457895
132.77127,-49.191917,-71.603424
-96.95816,105.633934,10.399764
-91.42175,-33.88773,111.582016
-122.75078,-11.759584,114.85738
118.38278,61.798264,35.147167
-80.797424,62.23428,-31.945232
-30.287884,86.871826,98.06852
-116.12739,19.160824,45.490616
-114.533554,-11.880909,-33.202396
84.49018,-53.211987,-84.505615
26.003681,24.784939,-69.10488
48.285557,-8.86602,147.46593
-37.552402,106.80282,-12.7966585
1.0168483,19.605799,163.1662
-20.550297,7.1122823,-20.423447
-176.91391,-10.291151,8.182242
50.499886,-21.127693,-151.03897
-42.173286,16.286068,111.532814
38.582508,94.319336,83.330215
-73.86976,-57.014404,5.071678
-134.55716,26.278757,8.029276
18.76238,79.470215,-31.812246
17.406538,124.51784,-46.903484
-7.0008473,42.094006,-7.18031
39.023186,35.594913,49.128113
50.619335,-53.698532,100.80586
-1.8051274,100.30491,35.785465
-10.891634,-130.73776,-8.2925415
-48.227345,-23.554014,80.88982
-26.283499,55.911938,91.6106
78.93676,17.973207,118.58
28.55738,-71.27838,78.417786
-65.08727,-52.740128,-138.74402
-4.9954014,105.20888,-48.536926
-63.70306,-11.296466,127.92847
-65.84526,108.1388,45.663902
-59.987873,29.283785,-39.869774
-14.605387,142.21591,-9.957682
-170.81345,19.841099,30.134716
-41.744946,96.823326,-102.98827
126.682625,-83.474174,-36.85982
90.310165,-56.93765,28.145231
-86.67793,7.5963187,102.5062
46.703045,61.968636,-58.334293
-27.461826,10.93229,54.942028
138.37552,-26.683298,-17.503641
-4.16314,-17.240849,78.99411
79.684525,-87.32737,-111.086685
-88.26792,-42.941475,-95.37372
-65.92591,-33.107315,38.647305
32.246628,-26.117512,97.82416
-84.49719,-39.98247,-45.9907
48.70332,38.39007,120.68532
-69.14862,3.213189,61.305447
17.23799,91.569405,-68.60666
-114.85623,19.534027,-15.065357
97.64788,-1.9556938,84.325485
9.768423,-81.37771,-39.694
-2.0139587,-17.888367,-40.46204
29.392218,40.42659,-0.42135772
45.804268,-63.554893,-31.037224
7.7523437,-25.00628,8.060964
4.662309,-113.479,42.640915
-16.88444,-108.91739,88.05581
78.96493,-113.8247,-25.444212
27.920721,72.13484,-132.51128
-14.605441,-30.621284,130.19104
117.251785,-51.53805,-98.37519
56.989216,-81.63052,-73.03471
49.716747,5.721723,89.05856
35.438393,-3.3412604,40.60023
-101.283295,46.644993,8.792283
-1.4132488,33.775463,-75.216194
93.126595,-120.73509,-89.48441
81.496704,-25.191702,15.035247
-25.046715,30.21344,17.281864
-10.637051,-63.2466,-88.12668
99.16663,37.11643,-73.1388
-50.289177,10.663905,-73.16983
-81.622314,-26.513174,1.6180266
27.19982,-92.1887,-0.11396122
67.75686,31.42096,-137.25029
56.81879,32.261898,-91.0971
58.23262,103.945076,8.9190035
-107.76235,52.17656,-64.19111
-6.907119,93.8799,-12.058946
93.7825,-88.71863,82.46237
-51.0447,-16.279465,-35.134
-122.0372,-1.7624806,70.84707
98.80938,-53.37228,-7.9956775
-142.11531,74.80928,-12.176648
-133.41878,-10.298513,15.935673
107.23536,-30.396553,26.354483
7.4813523,-4.590743,-80.72344
67.78122,-138.69525,-8.663797
17.053299,-47.73363,-71.85914
33.95134,62.670547,66.567986
84.192604,28.67361,-12.29786
81.82641,10.995566,-79.83868
109.43351,-14.809104,-82.62396
78.55083,-14.783708,-95.74243
70.04041,-118.649,-69.052605
74.10502,-28.022127,186.25467
99.228806,-91.178894,-62.57764
99.99453,-103.121185,7.933949
-52.08676,73.918724,-46.647865
13.4746065,5.1262136,128.28789
-3.4092166,16.253153,-48.172283
53.924747,-49.06059,58.8313
-52.572224,-3.7092812,25.323753
-86.47557,-0.7859647,-98.95146
-152.40594,-12.038753,98.70053
-62.42184,-22.723053,-61.800766
15.950654,46.86284,-49.119625
142.24802,-59.844135,44.40634
56.10129,32.487896,12.206477
-92.071884,1.531479,11.744752
-132.31123,18.84727,98.911896
-100.510796,10.333769,-70.36674
-7.96497,90.60841,64.82843
29.568771,-114.68174,48.160435
-35.16281,-76.67143,-62.51028
104.908554,-59.09063,-55.84142
-74.10905,-121.614456,-19.005085
-67.50599,3.5058734,-4.7682357
59.147404,68.0865,87.939964
-136.13892,-30.728205,62.55917
-17.188295,15.684608,88.24021
-37.433178,49.33282,-56.71504
