Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
9.5	138	73	11	276	120	mauvais	42	17	oui	oui
11.22	111	48	16	260	83	bon	65	10	oui	oui
10.06	113	35	10	269	80	moyen	59	12	oui	oui
7.4	117	100	4	466	97	moyen	55	14	oui	oui
4.15	141	64	3	340	128	mauvais	38	13	oui	non
10.81	124	113	13	501	72	mauvais	78	16	non	oui
6.63	115	105	0	45	108	moyen	71	15	oui	non
11.85	136	81	15	425	120	bon	67	10	oui	oui
6.54	132	110	0	108	124	moyen	76	10	non	non
4.69	132	113	0	131	124	moyen	76	17	non	oui
9.01	121	78	9	150	100	mauvais	26	10	non	oui
11.96	117	94	4	503	94	bon	50	13	oui	oui
3.98	122	35	2	393	136	moyen	62	18	oui	non
10.96	115	28	11	29	86	bon	53	18	oui	oui
11.17	107	117	11	148	118	bon	52	18	oui	oui
8.71	149	95	5	400	144	moyen	76	18	non	non
7.58	118	32	0	284	110	bon	63	13	oui	non
12.29	147	74	13	251	131	bon	52	10	oui	oui
13.91	110	110	0	408	68	bon	46	17	non	oui
8.73	129	76	16	58	121	moyen	69	12	oui	oui
6.41	125	90	2	367	131	moyen	35	18	oui	oui
12.13	134	29	12	239	109	bon	62	18	non	oui
5.08	128	46	6	497	138	moyen	42	13	oui	non
5.87	121	31	0	292	109	moyen	79	10	oui	non
10.14	145	119	16	294	113	mauvais	42	12	oui	oui
14.9	139	32	0	176	82	bon	54	11	non	non
8.33	107	115	11	496	131	bon	50	11	non	oui
5.27	98	118	0	19	107	moyen	64	17	oui	non
2.99	103	74	0	359	97	mauvais	55	11	oui	oui
7.81	104	99	15	226	102	mauvais	58	17	oui	oui
13.55	125	94	0	447	89	bon	30	12	oui	non
8.25	136	58	16	241	131	moyen	44	18	oui	oui
6.2	107	32	12	236	137	bon	64	10	non	oui
8.77	114	38	13	317	128	bon	50	16	oui	oui
2.67	115	54	0	406	128	moyen	42	17	oui	oui
11.07	131	84	11	29	96	moyen	44	17	non	oui
8.89	122	76	0	270	100	bon	60	18	non	non
4.95	121	41	5	412	110	moyen	54	10	oui	oui
6.59	109	73	0	454	102	moyen	65	15	oui	non
3.24	130	60	0	144	138	mauvais	38	10	non	non
2.07	119	98	0	18	126	mauvais	73	17	non	non
7.96	157	53	0	403	124	mauvais	58	16	oui	non
10.43	77	69	0	25	24	moyen	50	18	oui	non
4.12	123	42	11	16	134	moyen	59	13	oui	oui
4.16	85	79	6	325	95	moyen	69	13	oui	oui
4.56	141	63	0	168	135	mauvais	44	12	oui	oui
12.44	127	90	14	16	70	moyen	48	15	non	oui
4.38	126	98	0	173	108	mauvais	55	16	oui	non
3.91	116	52	0	349	98	mauvais	69	18	oui	non
10.61	157	93	0	51	149	bon	32	17	oui	non
1.42	99	32	18	341	108	mauvais	80	16	oui	oui
4.42	121	90	0	150	108	mauvais	75	16	oui	non
7.91	153	40	3	112	129	mauvais	39	18	oui	oui
6.92	109	64	13	39	119	moyen	61	17	oui	oui
4.9	134	103	13	25	144	moyen	76	17	non	oui
6.85	143	81	5	60	154	moyen	61	18	oui	oui
11.91	133	82	0	54	84	moyen	50	17	oui	non
0.91	93	91	0	22	117	mauvais	75	11	oui	non
5.42	103	93	15	188	103	mauvais	74	16	oui	oui
5.21	118	71	4	148	114	moyen	80	13	oui	non
8.32	122	102	19	469	123	mauvais	29	13	oui	oui
7.32	105	32	0	358	107	moyen	26	13	non	non
1.82	139	45	0	146	133	mauvais	77	17	oui	oui
8.47	119	88	10	170	101	moyen	61	13	oui	oui
7.8	100	67	12	184	104	moyen	32	16	non	oui
4.9	122	26	0	197	128	moyen	55	13	non	non
8.85	127	92	0	508	91	moyen	56	18	oui	non
9.01	126	61	14	152	115	moyen	47	16	oui	oui
13.39	149	69	20	366	134	bon	60	13	oui	oui
7.99	127	59	0	339	99	moyen	65	12	oui	non
9.46	89	81	15	237	99	bon	74	12	oui	oui
6.5	148	51	16	148	150	moyen	58	17	non	oui
5.52	115	45	0	432	116	moyen	25	15	oui	non
12.61	118	90	10	54	104	bon	31	11	non	oui
6.2	150	68	5	125	136	moyen	64	13	non	oui
8.55	88	111	23	480	92	mauvais	36	16	non	oui
10.64	102	87	10	346	70	moyen	64	15	oui	oui
7.7	118	71	12	44	89	moyen	67	18	non	oui
4.43	134	48	1	139	145	moyen	65	12	oui	oui
9.14	134	67	0	286	90	mauvais	41	13	oui	non
8.01	113	100	16	353	79	mauvais	68	11	oui	oui
7.52	116	72	0	237	128	bon	70	13	oui	non
11.62	151	83	4	325	139	bon	28	17	oui	oui
4.42	109	36	7	468	94	mauvais	56	11	oui	oui
2.23	111	25	0	52	121	mauvais	43	18	non	non
8.47	125	103	0	304	112	moyen	49	13	non	non
8.7	150	84	9	432	134	moyen	64	15	oui	non
11.7	131	67	7	272	126	bon	54	16	non	oui
6.56	117	42	7	144	111	moyen	62	10	oui	oui
7.95	128	66	3	493	119	moyen	45	16	non	non
5.33	115	22	0	491	103	moyen	64	11	non	non
4.81	97	46	11	267	107	moyen	80	15	oui	oui
4.53	114	113	0	97	125	moyen	29	12	oui	non
8.86	145	30	0	67	104	moyen	55	17	oui	non
8.39	115	97	5	134	84	mauvais	55	11	oui	oui
5.58	134	25	10	237	148	moyen	59	13	oui	oui
9.48	147	42	10	407	132	bon	73	16	non	oui
7.45	161	82	5	287	129	mauvais	33	16	oui	oui
12.49	122	77	24	382	127	bon	36	16	non	oui
4.88	121	47	3	220	107	mauvais	56	16	non	oui
4.11	113	69	11	94	106	moyen	76	12	non	oui
6.2	128	93	0	89	118	moyen	34	18	oui	non
5.3	113	22	0	57	97	moyen	65	16	non	non
5.07	123	91	0	334	96	mauvais	78	17	oui	oui
